,angebot_id,startdate,enddate,laufzeitw_geschl,laufzeitw_alle,oadr_strasse,oadr_koord_lon_epsg4326,oadr_koord_lat_epsg4326,oadr_koord_genauigkeit,oadr_ortsteil,oadr_ortsteil_qual,oadr_plz,oadr_gkz,oadr_ort,oadr_kkz,oadr_kreis,oadr_bl,nachfrageart,nutzungsart,objektart,objekttyp,objekttyp_grob,objekttyp_fein,kosten,kosten_je_flaeche,kstn_nebenkosten,kstn_heizung,kstn_miete_gesamt,flaeche,fl_wohnen,baujahr,etage,anz_zimmer,aus_balkon_terrasse_janein,aus_garten_janein,aus_garten_eigen_janein,aus_lift_janein,aus_heiz_system,aus_kueche_einbau_janein,anz_parken,aus_klassen,oeig_denkmal_janein,zust_klassen,aadr_gewerblich_janein,oadr_koord_distanz,oadr_koord_distanz_sort,kstn_nk_inkl_heizung,aus_bad_mit_fenster_janein,oeig_keller_janein,oeig_neubau_janein,zust_erstbezug_janein,etagen,aus_heiz_befeuerung,zust_renoviert_janein,fl_nutz,zust_neuwertig_janein,kstn_parken_platz_miete,zust_modernisierungsjahr,zust_saniert_janein,anzart_nachmieter_janein,aus_barrierefrei_janein,oeig_wbs_janein,zust_sanierungsbedarf_janein,kueche,lift,nk_inkl_heizung_qm
23,3548300128,2023-01-12,2023-01-28,2.2,2.2,Schiersteiner Str. 35b,8.22823,50.07238,1,Rheingauviertel,30.0,65187,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,1,600.0,13.33,140.0,,740.0,45.0,45.0,1994,0.5,1.5,True,,,True,0.0,True,1.0,2,,2,True,1334,1334,True,,True,,,,,,,,100.0,,True,,,,,1,1,3.11
24,3548013605,2023-01-10,2023-01-20,1.4,1.4,,8.22201,50.08939,500,Nordost,30.0,65195,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,5,1500.0,13.64,250.0,,1750.0,110.0,110.0,2001,0.0,5.0,True,True,,,1.0,True,1.0,1,,1,,1713,1963,False,,True,,,3.0,0.0,,,,30.0,,,,,,,1,0,2.27
25,3547390911,2023-01-05,2023-01-05,0.1,0.1,,8.23767,50.08878,300,Nordost,30.0,65183,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1032.0,12.0,300.0,,1332.0,86.0,86.0,1997,0.0,3.0,True,True,False,True,0.0,True,1.0,3,,2,,949,1099,True,,True,,,,0.0,True,,,80.0,,True,,,,,1,1,3.49
26,3547317502,2023-01-04,2023-01-20,2.3,2.3,,8.24237,50.09187,700,Nordost,30.0,65193,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1275.0,12.5,720.0,,1995.0,102.0,102.0,2007,,3.0,True,True,True,True,,True,3.0,1,False,1,True,1247,1597,True,True,True,,,,0.0,,10.0,,50.0,,,,True,,,1,1,7.06
27,3547210134,2023-01-03,2023-02-27,7.8,7.8,Konrad-Adenauer-Ring 1a,8.22378,50.07409,1,Camp Lindsey,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1390.74,11.62,357.0,155.6,1978.34,119.69,119.69,2018,2.0,3.0,True,True,,True,0.0,True,1.0,1,False,1,True,1478,1478,,,,,,,,,,,,,,,,,,1,1,4.28
28,3547059069,2023-01-02,2023-01-22,2.7,2.7,Karlsbader Platz 14,8.22331,50.07336,1,Camp Lindsey,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1538.16,15.04,298.0,132.99,2044.15,102.3,102.3,2018,4.0,3.0,True,True,,True,0.0,True,1.0,1,False,1,True,1548,1548,,True,,,,5.0,,,,,,,,,,,,1,1,4.21
29,3547025331,2023-01-02,2023-01-13,1.5,1.5,Schiersteiner Str. 39,8.22837,50.07184,1,Rheingauviertel,30.0,65187,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,1,420.0,13.55,210.0,,630.0,31.0,31.0,1994,4.0,1.5,,,,True,,True,,1,,1,,1370,1370,True,,True,,,5.0,,,,,,,,,,,,1,1,6.77
30,3546995137,2023-01-02,2023-01-04,0.2,0.2,Karlsbader Platz 14,8.22331,50.07336,1,Camp Lindsey,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1250.58,11.85,290.0,137.19,1752.77,105.53,105.53,2018,3.0,3.0,True,True,,True,0.0,True,1.0,1,False,2,True,1548,1548,False,True,True,,,4.0,,,,True,75.0,,,,,,,1,1,4.05
31,3546562627,2022-12-29,2023-01-26,4.0,4.0,Hohenstaufenstr. 10,8.25451,50.0652,1,Hasengartenstraße,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,679.0,11.32,240.0,,919.0,60.0,60.0,1995,3.0,2.0,True,,,True,0.0,,1.0,1,,2,True,1948,1948,True,,True,,,4.0,,,5.0,,50.0,2011.0,True,,,,,0,1,4.0
32,3546562008,2022-12-29,2023-01-04,0.8,0.8,Dotzheimer Str. 99a,8.21925,50.07774,1,Kleinfeldchen,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,1,350.0,18.92,150.0,,500.0,18.5,18.5,1998,3.0,1.0,,,,True,,,,1,,2,,1641,1641,True,,True,,,4.0,0.0,True,,,,2022.0,True,,,,,0,1,8.11
